vendor_disrupted,molecule,country,shipment_qty,delay_days,severity,lane_vendor_count,has_alternate,action,alternate_vendor,volume_coverage,route
SCMS from RDC,Lamivudine/Zidovudine,Haiti,20000.0,12,2,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.76,Aurobindo Pharma Limited -> Haiti
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Zambia,166295.0,7,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.654,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zambia
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Burundi,2880.0,26,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Burundi
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Burundi,1152.0,26,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Burundi
SCMS from RDC,Nevirapine,Burundi,450.0,26,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Burundi
SCMS from RDC,Lamivudine/Stavudine,Zambia,5232.0,4,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Zambia
SCMS from RDC,Lopinavir/Ritonavir,Mozambique,49000.0,30,3,2,True,T1_ALT_VENDOR_SAME_LANE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0.026,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) -> Mozambique
SCMS from RDC,Nevirapine,"Congo, DRC",1330.0,34,3,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,"Aurobindo Pharma Limited -> Congo, DRC"
SCMS from RDC,Nevirapine,South Sudan,2125.0,59,4,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Sudan
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,"Congo, DRC",2825.0,42,3,3,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Lopinavir/Ritonavir,Zambia,312.0,54,4,3,True,T1_ALT_VENDOR_SAME_LANE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),1.0,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) -> Zambia
SCMS from RDC,Efavirenz,"Congo, DRC",2660.0,19,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,"Aurobindo Pharma Limited -> Congo, DRC"
SCMS from RDC,Lamivudine/Zidovudine,Côte d'Ivoire,14344.0,12,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Abacavir,Mozambique,2173.0,4,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,ASPEN PHARMACARE,1.0,ASPEN PHARMACARE -> Mozambique
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Mozambique,380000.0,13,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.076,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Mozambique
SCMS from RDC,Abacavir,Mozambique,5280.0,14,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,ASPEN PHARMACARE,1.0,ASPEN PHARMACARE -> Mozambique
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Zimbabwe,400000.0,1,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.072,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zimbabwe
SCMS from RDC,Lamivudine/Zidovudine,Côte d'Ivoire,100000.0,12,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,0.152,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Lopinavir/Ritonavir,Burundi,320.0,1,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)",1.0,"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.) -> Burundi"
SCMS from RDC,Lamivudine/Zidovudine,Uganda,45671.0,15,2,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.333,Aurobindo Pharma Limited -> Uganda
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,"Congo, DRC",70971.0,30,3,3,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,0.232,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Abacavir/Lamivudine,"Congo, DRC",820.0,22,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,CIPLA LIMITED,1.0,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Lopinavir/Ritonavir,Senegal,100.0,3,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)",1.0,"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.) -> Senegal"
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Côte d'Ivoire,6750.0,6,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Côte d'Ivoire
SCMS from RDC,Lopinavir/Ritonavir,Cameroon,12000.0,9,2,2,True,T1_ALT_VENDOR_SAME_LANE,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),0.104,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) -> Cameroon
SCMS from RDC,Abacavir,Zambia,19099.0,8,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.035,Aurobindo Pharma Limited -> Zambia
SCMS from RDC,Nevirapine,Zambia,61154.0,11,2,3,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.441,HETERO LABS LIMITED -> Zambia
SCMS from RDC,Lamivudine/Zidovudine,Nigeria,214.0,5,1,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Nigeria
SCMS from RDC,Lamivudine,Nigeria,75.0,5,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Lamivudine,Nigeria,5500.0,5,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Zidovudine,Côte d'Ivoire,2352.0,1,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.893,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Didanosine,Côte d'Ivoire,1833.0,1,1,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.33,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Abacavir,Côte d'Ivoire,2590.0,2,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,ASPEN PHARMACARE,1.0,ASPEN PHARMACARE -> Côte d'Ivoire
SCMS from RDC,Efavirenz,Côte d'Ivoire,769.0,1,1,2,True,T1_ALT_VENDOR_SAME_LANE,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),1.0,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.) -> Côte d'Ivoire
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Nigeria,40148.0,29,3,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.917,HETERO LABS LIMITED -> Nigeria
SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Zimbabwe,298.0,3,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,CIPLA LIMITED,1.0,CIPLA LIMITED -> Zimbabwe
SCMS from RDC,Lamivudine,Haiti,3168.0,7,1,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Haiti
SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Uganda,2797.0,6,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Uganda
SCMS from RDC,Abacavir,Tanzania,23358.0,16,2,4,True,T1_ALT_VENDOR_SAME_LANE,GLAXOSMITHKLINE EXPORT LIMITED,0.856,GLAXOSMITHKLINE EXPORT LIMITED -> Tanzania
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Nigeria,28868.0,1,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Nigeria
SCMS from RDC,Nevirapine,Nigeria,13104.0,5,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.534,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Nevirapine,Nigeria,34801.0,5,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.201,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Nevirapine,Haiti,27900.0,7,1,4,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.968,HETERO LABS LIMITED -> Haiti
SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Zimbabwe,112100.0,4,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,CIPLA LIMITED,0.175,CIPLA LIMITED -> Zimbabwe
SCMS from RDC,Efavirenz,Uganda,27304.0,5,1,6,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Uganda
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Uganda,31084.0,5,1,3,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.432,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Uganda
SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Nigeria,2000.0,19,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,CIPLA LIMITED,1.0,CIPLA LIMITED -> Nigeria
SCMS from RDC,Lamivudine/Zidovudine,Nigeria,72023.0,19,2,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.239,HETERO LABS LIMITED -> Nigeria
SCMS from RDC,Lamivudine/Zidovudine,Haiti,36139.0,19,2,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.421,Aurobindo Pharma Limited -> Haiti
SCMS from RDC,Nevirapine,Côte d'Ivoire,19767.0,22,3,3,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,CIPLA LIMITED -> Côte d'Ivoire
SCMS from RDC,Lamivudine,Côte d'Ivoire,3660.0,22,3,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Zambia,3355.0,5,1,2,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,CIPLA LIMITED -> Zambia
SCMS from RDC,Didanosine,Côte d'Ivoire,648.0,14,2,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.933,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Abacavir/Lamivudine,Côte d'Ivoire,1309.0,51,4,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Lamivudine/Zidovudine,Côte d'Ivoire,20376.0,51,4,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,0.746,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Côte d'Ivoire,11280.0,75,4,2,True,T1_ALT_VENDOR_SAME_LANE,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),0.472,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.) -> Côte d'Ivoire
SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Nigeria,60756.0,41,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Lamivudine,Haiti,2111.0,35,3,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Haiti
SCMS from RDC,Didanosine,Zimbabwe,105.0,46,4,3,True,T1_ALT_VENDOR_SAME_LANE,BRISTOL-MYERS SQUIBB,1.0,BRISTOL-MYERS SQUIBB -> Zimbabwe
SCMS from RDC,Didanosine,Zimbabwe,45.0,46,4,3,True,T1_ALT_VENDOR_SAME_LANE,BRISTOL-MYERS SQUIBB,1.0,BRISTOL-MYERS SQUIBB -> Zimbabwe
SCMS from RDC,Lamivudine,Zambia,54869.0,36,3,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.237,Aurobindo Pharma Limited -> Zambia
SCMS from RDC,Lamivudine/Zidovudine,Zambia,120000.0,20,2,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.127,Aurobindo Pharma Limited -> Zambia
SCMS from RDC,Nevirapine,Zambia,7946.0,39,3,3,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Zambia
SCMS from RDC,Stavudine,Mozambique,630.0,23,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Mozambique
SCMS from RDC,Zidovudine,Zambia,10394.0,57,4,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.072,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zambia
SCMS from RDC,Lamivudine/Stavudine,Zimbabwe,4669.0,15,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Zimbabwe
SCMS from RDC,Nevirapine,Nigeria,42371.0,15,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.165,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Lamivudine,Nigeria,3173.0,21,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Nevirapine,Nigeria,15508.0,20,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.451,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Nevirapine,Zambia,112000.0,51,4,3,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.241,HETERO LABS LIMITED -> Zambia
SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Benin,14770.0,22,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,CIPLA LIMITED,1.0,CIPLA LIMITED -> Benin
SCMS from RDC,Lamivudine/Stavudine,Benin,8800.0,22,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Benin
SCMS from RDC,Nevirapine,Ghana,38040.0,16,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.184,Aurobindo Pharma Limited -> Ghana
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Mozambique,135900.0,1,1,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.247,HETERO LABS LIMITED -> Mozambique
SCMS from RDC,Didanosine,Haiti,180.0,2,1,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Haiti
SCMS from RDC,Lamivudine/Zidovudine,Haiti,30000.0,23,3,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.507,Aurobindo Pharma Limited -> Haiti
SCMS from RDC,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Zambia,13154.0,113,5,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Zambia
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Swaziland,23861.0,6,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Swaziland
SCMS from RDC,Lamivudine/Zidovudine,"Congo, DRC",274.0,4,1,2,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Nevirapine,"Congo, DRC",163.0,7,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,"Aurobindo Pharma Limited -> Congo, DRC"
SCMS from RDC,Lamivudine,Haiti,2808.0,10,2,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Haiti
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Mozambique,14125.0,17,2,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,1.0,HETERO LABS LIMITED -> Mozambique
SCMS from RDC,Nevirapine,Burundi,1800.0,8,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Burundi
SCMS from RDC,Lamivudine/Stavudine,Zimbabwe,7150.0,20,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Zimbabwe
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Zimbabwe,11574.0,20,2,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Zimbabwe
SCMS from RDC,Efavirenz,Zambia,155202.0,7,1,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.228,Aurobindo Pharma Limited -> Zambia
SCMS from RDC,Nevirapine,Uganda,18350.0,8,2,4,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Uganda
SCMS from RDC,Lopinavir/Ritonavir,Uganda,5000.0,8,2,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.679,Aurobindo Pharma Limited -> Uganda
SCMS from RDC,Nevirapine,Uganda,4535.0,1,1,4,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Uganda
SCMS from RDC,Lamivudine/Zidovudine,"Congo, DRC",1296.0,143,5,2,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,"Congo, DRC",990.0,143,5,3,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Abacavir/Lamivudine,"Congo, DRC",54.0,143,5,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,CIPLA LIMITED,1.0,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Efavirenz,"Congo, DRC",228.0,143,5,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,"Aurobindo Pharma Limited -> Congo, DRC"
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Côte d'Ivoire,38722.0,2,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,HETERO LABS LIMITED,0.866,HETERO LABS LIMITED -> Côte d'Ivoire
SCMS from RDC,Efavirenz,Mozambique,34200.0,5,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Mozambique
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Mozambique,66956.0,12,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.433,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Mozambique
SCMS from RDC,Nevirapine,Nigeria,109238.0,8,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.064,Aurobindo Pharma Limited -> Nigeria
SCMS from RDC,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Zambia,176213.0,5,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.441,Aurobindo Pharma Limited -> Zambia
SCMS from RDC,Efavirenz,Zimbabwe,4800.0,6,1,3,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Zimbabwe
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Uganda,44017.0,26,3,3,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.305,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Uganda
SCMS from RDC,Lamivudine/Stavudine,Nigeria,1945.0,1,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Nigeria
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,"Congo, DRC",800.0,164,5,3,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,"CIPLA LIMITED -> Congo, DRC"
SCMS from RDC,Lamivudine/Zidovudine,Uganda,45233.0,16,2,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.336,Aurobindo Pharma Limited -> Uganda
SCMS from RDC,Efavirenz,Zambia,10000.0,7,1,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Zambia
SCMS from RDC,Lopinavir/Ritonavir,Uganda,13040.0,29,3,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.26,Aurobindo Pharma Limited -> Uganda
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Zimbabwe,131520.0,9,2,4,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.28,HETERO LABS LIMITED -> Zimbabwe
SCMS from RDC,Lopinavir/Ritonavir,Uganda,13164.0,24,3,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.258,Aurobindo Pharma Limited -> Uganda
SCMS from RDC,Nevirapine,Tanzania,56540.0,4,1,3,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.477,HETERO LABS LIMITED -> Tanzania
SCMS from RDC,Lamivudine,Rwanda,5233.0,68,4,4,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,CIPLA LIMITED -> Rwanda
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Zimbabwe,39360.0,13,2,4,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.936,HETERO LABS LIMITED -> Zimbabwe
SCMS from RDC,Lopinavir/Ritonavir,Haiti,1865.0,3,1,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Haiti
SCMS from RDC,Lopinavir/Ritonavir,Burundi,88.0,7,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)",1.0,"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.) -> Burundi"
SCMS from RDC,Nevirapine,South Sudan,378.0,20,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Sudan
SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Rwanda,1303.0,3,1,4,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Rwanda
SCMS from RDC,Abacavir/Lamivudine,Côte d'Ivoire,9500.0,18,2,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.236,Aurobindo Pharma Limited -> Côte d'Ivoire
SCMS from RDC,Abacavir/Lamivudine,Uganda,1864.0,17,2,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1.0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Uganda
SCMS from RDC,Abacavir,Tanzania,11022.0,19,2,4,True,T1_ALT_VENDOR_SAME_LANE,GLAXOSMITHKLINE EXPORT LIMITED,1.0,GLAXOSMITHKLINE EXPORT LIMITED -> Tanzania
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Rwanda,49998.0,5,1,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.445,Aurobindo Pharma Limited -> Rwanda
SCMS from RDC,Lamivudine/Zidovudine,Guyana,287.0,3,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Guyana
SCMS from RDC,Zidovudine,Guyana,190.0,3,1,2,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Guyana
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Mozambique,127671.0,10,2,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.227,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Mozambique
SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Rwanda,15862.0,1,1,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> Rwanda
SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Rwanda,30205.0,32,3,2,True,T1_ALT_VENDOR_SAME_LANE,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.959,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) -> Rwanda
