vendor_disrupted,molecule,country,shipment_qty,delay_days,severity,lane_vendor_count,has_alternate,action,alternate_vendor,volume_coverage,route
Aurobindo Pharma Limited,Nevirapine,Uganda,11310.0,2,1,4,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Uganda
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,3144.0,1,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.318,Abbott GmbH & Co. KG -> Nigeria
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Mozambique,2939.0,1,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.34,Abbott GmbH & Co. KG -> Mozambique
Aurobindo Pharma Limited,Efavirenz,South Africa,106589.0,24,3,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,0.731,EMCURE PHARMACEUTICALS LTD -> South Africa
Aurobindo Pharma Limited,Nevirapine,Uganda,1503.0,2,1,4,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Uganda
Aurobindo Pharma Limited,Efavirenz,South Africa,91772.0,7,1,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,0.849,EMCURE PHARMACEUTICALS LTD -> South Africa
"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Rwanda,4156.0,49,4,1,False,T5_SINGLE_SOURCED,,,(single-sourced: hold & buffer)
Aurobindo Pharma Limited,Efavirenz,South Africa,34560.0,38,3,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,1.0,EMCURE PHARMACEUTICALS LTD -> South Africa
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Kenya,8331.0,2,1,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.042,SCMS from RDC -> Kenya
Aurobindo Pharma Limited,Nevirapine,South Africa,4529.0,53,4,6,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
Aurobindo Pharma Limited,Nevirapine,Uganda,10368.0,2,1,4,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Uganda
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Zambia,2415.0,4,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.414,Abbott GmbH & Co. KG -> Zambia
"Orgenics, Ltd","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",South Sudan,20.0,5,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,WAGENIA,1.0,WAGENIA -> South Sudan
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Zambia,3038.0,4,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.329,Abbott GmbH & Co. KG -> Zambia
Aurobindo Pharma Limited,Efavirenz,South Africa,64316.0,24,3,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,1.0,EMCURE PHARMACEUTICALS LTD -> South Africa
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,4177.0,17,2,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.239,Abbott GmbH & Co. KG -> Nigeria
"Orgenics, Ltd","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",South Sudan,20.0,5,1,1,False,T5_SINGLE_SOURCED,,,(single-sourced: hold & buffer)
Aurobindo Pharma Limited,Lamivudine,South Africa,2004.0,87,4,7,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
S. BUYS WHOLESALER,Tenofovir Disoproxil Fumarate,South Africa,2837.0,1,1,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Africa
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,2874.0,70,4,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.348,Abbott GmbH & Co. KG -> Nigeria
