date,stress_score,stress_level,type
2024-03-03,0.423559487256069,MEDIUM,historical
2024-03-10,0.4322908898634892,MEDIUM,historical
2024-03-17,0.4318633991576054,MEDIUM,historical
2024-03-24,0.4325957896211629,MEDIUM,historical
2024-03-31,0.4310110185100624,MEDIUM,historical
2024-04-07,0.4195349226026933,MEDIUM,historical
2024-04-14,0.423132623184529,MEDIUM,historical
2024-04-21,0.4260843674129311,MEDIUM,historical
2024-04-28,0.4411931922895564,MEDIUM,historical
2024-05-05,0.4382113355628791,MEDIUM,historical
2024-05-12,0.4186435899913832,MEDIUM,historical
2024-05-19,0.4071148047243961,MEDIUM,historical
2024-05-26,0.3923034259493344,LOW,historical
2024-06-02,0.4038425959113665,MEDIUM,historical
2024-06-09,0.423922594116296,MEDIUM,historical
2024-06-16,0.4325478940974899,MEDIUM,historical
2024-06-23,0.4317400233642434,MEDIUM,historical
2024-06-30,0.4211900115352622,MEDIUM,historical
2024-07-07,0.4073002339374779,MEDIUM,historical
2024-07-14,0.3999674532482674,LOW,historical
2024-07-21,0.3857678522330854,LOW,historical
2024-07-28,0.3822228844312084,LOW,historical
2024-08-04,0.3851891649295202,LOW,historical
2024-08-11,0.3863212647631994,LOW,historical
2024-08-18,0.3980150935875766,LOW,historical
2024-08-25,0.3929455267377376,LOW,historical
2024-09-01,0.3920227365514505,LOW,historical
2024-09-08,0.392639741290733,LOW,historical
2024-09-15,0.3905695108307629,LOW,historical
2024-09-22,0.3922638462828978,LOW,historical
2024-09-29,0.3962940368501899,LOW,historical
2024-10-06,0.4079844524523311,MEDIUM,historical
2024-10-13,0.4092355070617617,MEDIUM,historical
2024-10-20,0.4243669794677397,MEDIUM,historical
2024-10-27,0.4277906480880214,MEDIUM,historical
2024-11-03,0.4331051414829577,MEDIUM,historical
2024-11-10,0.449706655223647,MEDIUM,historical
2024-11-17,0.4561265469743048,MEDIUM,historical
2024-11-24,0.4587539692028062,MEDIUM,historical
2024-12-01,0.4430547637771928,MEDIUM,historical
